"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"8489170","09014238221001061000000000U9","PLOMERIA SIN NOMBRE",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","TORRES ADALID","CALLE","TAJIN","CALLE","XOCHICALCO","CALLE","LUZ SAVIÑÓN","1610",,,,,,"COLONIA","NARVARTE",,,,"03023","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0261","003",,,,"Fijo","19.3889104","-99.15386521","2019-11"
"961715","09014238221000651000000000U8","PLOMERIA Y ELECTRICIDAD SANCHEZ E HIJOS",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","EJE VIAL","6 SUR (ANGEL URRAZA)","CALLE","TAJIN","CALLE","XOCHICALCO","CALLE","SAN BORJA","1630","B",,,"0",,"COLONIA","VERTIZ NARVARTE",,,,"03600","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","044A","005","5556054555",,,"Fijo","19.38053695","-99.15521853","2010-07"
"966266","09014238221000391000000000U1","PLOMERIA Y HERRERÍA VERTIZ",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","AVENIDA","DOCTOR JOSE MARIA VERTIZ","AVENIDA","DOCTOR JOSE MARIA VERTIZ","CALLE","MATIAS ROMERO","CALLE","PALENQUE","1185",,,,"0",,"COLONIA","LETRAN VALLE",,,,"03650","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0628","022","5556055343","PLOMERIAYHERRERIAVERTIZ1185@HOTMAIL.COM",,"Fijo","19.37821615","-99.15363789","2010-07"
"963643","09014238221000561000000000U9","PLOMERIA Y VENTA DE MATERIAL SIN NOMBRE",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","RAFAEL SOLANA","CALLE","LUIS SPOTA","CALLE","AVENIDA 11","CALLE","CANARIAS","112",,,,,,"COLONIA","SAN SIMON TICUMAC",,,,"03660","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0647","006",,,,"Fijo","19.37665929","-99.14662053","2010-07"
"7255591","09014238290000152000000000U2","PUERTAS AUTOMATICAS BFT",,"238290","Otras instalaciones y equipamiento en construcciones","6 a 10 personas","CALLE","ESTAFETAS","CALLE","TUY","CALLE","JOSE SIMON BOLIVAR","CALLE","ALMERÍA","142",,,,,,"COLONIA","MIGUEL ALEMAN",,,,"03420","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0280","004",,"VENTAS@PUERTASAUTOMATICASBFT.MX","WWW.PUERTASAUTOMATICASBFTMX","Fijo","19.39040384","-99.14449063","2019-11"
"9434922","09014236111001703000000000U1","PULSO PERIFERICO SUR","PULSO PERIFERICO SUR SAPI DE CV","236111","Edificación de vivienda unifamiliar","11 a 30 personas","BOULEVARD","ADOLFO LÓPEZ MATEOS","CALLE","CALLE 4","CALLE","CALLE 10","CALLE","FC DE CUERNAVACA","1075",,,,,,"COLONIA","SAN PEDRO DE LOS PINOS",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0261","024",,"ARMANDO.VAZQUEZ@PULSOVIVIENDA.COM",,"Fijo","19.391643","-99.15647494","2023-11"
"9319034","09014236221001771000000000U6","R3S CONSTRUCCIONES",,"236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","51 a 100 personas","EJE VIAL","CENTRAL (LAZARO CARDENAS)","CALLE","TARRAGONA","EJE VIAL","4 SUR (XOLA)","CALLE","NAVARRA","0","SN","SINNOMBRE","17",,,"COLONIA","ALAMOS",,,,"03400","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","012A","015",,"ALEJANDROGALINDO@R3S.MX","WWW.R3S.MX","Fijo","19.39450156","-99.14600729","2020-11"
"9220002","09014238320000073000000000U5","REZINTEK RECUBRIMIENTOS","INGENIERIA Y APLICACIONES TECNICAS SA DE CV","238320","Trabajos de pintura y otros cubrimientos de paredes","11 a 30 personas","CALLE","MOTOZINTLA","CALLE","CUICUILCO","CALLE","MATIAS ROMERO","CALLE","MITLA","6",,,,,,"COLONIA","LETRAN VALLE",,,,"03650","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0632","017",,,,"Fijo","19.37806942","-99.1521193","2019-11"
"9432036","09014236111001723000000000U9","RUYIRO CONSTRUCTORA","RUYIRO CONSTRUCTORA SA DE CV","236111","Edificación de vivienda unifamiliar","11 a 30 personas","CALLE","PEDRO DE ALBA","CALLE","RUFINO BLANCO FOMBONA","CALLE","LUIS GONZAGA INCLÁN","CALLE","PEDRO SANTACILIA","268",,,,,,"COLONIA","IZTACCIHUATL",,,,"03520","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0327","004","5563478735","CONTACTO@RUYIRO.COM.MX",,"Fijo","19.38923183","-99.13678875","2023-11"
"966376","09014238221000471000000000U1","SERVICIO SAN ANDRES",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALZADA","CALZADA DE TLALPAN","EJE VIAL","5 SUR (PRIMERO DE MAYO)","CALLE","DON JUAN","CALLE","LUISA","28","SN",,,,"1 BIS","COLONIA","NATIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0524","022",,,,"Fijo","19.38135883","-99.13964705","2010-07"
"8152699","09014238221000981000000000U9","SERVICIOS CUAUHTEMOC",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","EJE VIAL","1 PONIENTE (AVENIDA CUAUHTEMOC)","CALLE","LUZ SAVIÑON","CALLE","ROMERO DE TERREROS","CALLE","ANAXÁGORAS","713","B",,,"0",,"COLONIA","NARVARTE PONIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0261","024","5523529351","JUAN.GBENITEZ56@GMAIL.COM",,"Fijo","19.39250704","-99.15640604","2019-11"
"962366","09014238221000271000000000U0","SERVICIOS DE PLOMERIA AGUILAR",,"238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","EJE VIAL","6 SUR (ANGEL URRAZA)","CALLE","EDZNA","CALLE","ZEMPOALA","EJE VIAL","6 SUR (ÁNGEL URRAZA)","2051","2",,,"2",,"COLONIA","INDEPENDENCIA",,,,"03036","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0469","004","5525315558",,,"Fijo","19.37962415","-99.1498694","2010-07"
"6144876","09014236221001036001000000U3","TECNICOS Y CONSTRUCTORES DEL GOLFO","TECNICOS Y CONSTRUCTORES DEL GOLFO SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","101 a 250 personas","CALLE","PALENQUE","EJE VIAL","4 SUR (XOLA)","CALLE","CUMBRES DE MALTRATA","CALLE","PETÉN","117",,,,,,"COLONIA","COLONIA NARVARTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0083","003",,"TCGCONTABILIDAD@OUTLOOK.COM",,"Fijo","19.39468833","-99.15191206","2010-07"
"6144945","09014236221000985001000000U2","TOPA CONSTRUCCIONES","TOPA CONSTRUCCIONES SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas","CERRADA","JUAN DE LA BARRERA","CALLE","MIGUEL NEGRETE","CALLE","5 DE FEBRERO","CALLE","ROMERO","9",,,,"0",,"COLONIA","AMERICAS UNIDAS",,,,"03610","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0492","001",,"g.ruiz1985@gmail.com",,"Fijo","19.38414271","-99.14122455","2010-07"
"7255527","09014238130000191000000000U8","TRABAJOS DE CONSTRUCCION Y MANTENIMIENTO",,"238130","Trabajos de albañilería","0 a 5 personas","CALLE","ALICANTE","CALLE","UNION POSTAL","CALLE","ESTAFETAS","CALLE","GALICIA","165","E",,,,,"COLONIA","POSTAL",,,,"03410","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0280","018","5512283840","ANTONIO6725@HOTMAIL.COM",,"Fijo","19.39075636","-99.14523673","2019-11"
"8539420","09014238210000832000000000U7","TRAFOTEC","TRAFOTEC SA DE CV","238210","Instalaciones eléctricas en construcciones","6 a 10 personas","CALLE","PETEN","CALLE","CONCEPCION BEISTEGUI","EJE VIAL","5 SUR (EUGENIA)","CALLE","TAJÍN","343",,,,,,"COLONIA","NARVARTE PONIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","044A","008",,"TRAFOTEC@PRODIGY.NET.MX",,"Fijo","19.3861149","-99.15350215","2019-11"
"8392667","09014238221001001000000000U5","URBANIZADORA AB","URBANIZADORA AB SA DE CV","238221","Instalaciones hidrosanitarias y de gas","0 a 5 personas","CALLE","ISABEL LA CATOLICA","CALLE","TOLEDO","EJE VIAL","4 SUR (XOLA)","CALLE","ANDALUCÍA","759","5",,,,,"COLONIA","ALAMOS",,,,"03400","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0134","015",,,,"Fijo","19.39521792","-99.14145181","2019-11"
"9428567","09014237999000373000000000U1","VCOLOSSEUM","VCOLOSSEUM SA DE CV","237999","Otras construcciones de ingeniería civil","11 a 30 personas","CALLE","BULGARIA","CALLE","BULGARIA","CALLE","MIGUEL LAURENT","CALLE","MONTE LBAN","529",,,,"5",,"COLONIA","LETRAN VALLE",,,,"03650","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0632","022",,"VCOLOSSEUM@YAHOO.COM",,"Fijo","19.37435873","-99.15336001","2023-11"
"9321526","09014236221001781000000000U8","VERTICAS MANTENIMIENTOS INTEGRALES","GRUPO VERTICAS SA DE CV","236221","Edificación de inmuebles comerciales y de servicios, excepto la supervisión","11 a 30 personas","AVENIDA","UNIVERSIDAD","EJE VIAL","5 SUR (EUGENIA)","CALLE","XOCHICALCO",,"N/A","424",,,,"2",,"COLONIA","NARVARTE ORIENTE",,,,"03023","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","044A","015",,"CONTACTO@VERTICAS.COM.MX","WWW.VERTICAS.COM.MX","Fijo","19.38523199","-99.15522113","2020-11"
"963709","09014332999000073001000000U1","ACEROS JOGAR","ACEROS JOGAR SA DE CV","332999","Fabricación de otros productos metálicos","6 a 10 personas","CALLE","CANARIAS","CALLE","ELEUTERIO MENDEZ","CALLE","SANTA CRUZ","CALLE","FILIPINAS","57",,,,,,"COLONIA","SAN SIMON TICUMAC",,,,"03660","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0647","032",,,,"Fijo","19.3737164","-99.14610061","2010-07"
"903114","09014339912000061000000000U2","ACUÑACIÓN ARTÍSTICA EMBLEMÁTICA","ACUÑACIÓN ARTÍSTICA EMBLEMÁTICA SA DE CV","339912","Orfebrería y joyería de metales y piedras preciosos","0 a 5 personas","CALLE","ELVIRA","CALLE","VIRGINIA","CALLE","ELISA","CALLE","LAURA","36",,,,,,"COLONIA","NATIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","051A","013",,"AEMBLEMATICA@PRODYGY.NET.MX","WWW.AEMBLEMATICA.COM.MX","Fijo","19.38372002","-99.13776418","2014-12"
"962422","09014323120000181010000000U6","AGUIRRE HERMANOS",,"332320","Fabricación de productos de herrería","0 a 5 personas","CALLE","RAFAEL MARTINEZ ""RIP RIP""","CALLE","LUIS BRAILLE","EJE VIAL","6 SUR (INDEPENDENCIA)","CALLE","JOSÉ SIMÓN BOLÍVAR","70",,,,,,"COLONIA","INDEPENDENCIA",,,,"03630","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0647","031",,,,"Fijo","19.37851305","-99.14754779","2010-07"
"966365","09014467114000041000000000U1","ALUMANIA",,"332320","Fabricación de productos de herrería","0 a 5 personas","EJE VIAL","5 SUR (PRIMERO DE MAYO)","CALLE","VIRGINIA","CALLE","ELENA","CALLE","DON JUAN","37",,,,"0",,"COLONIA","NATIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0524","008",,"ALONSO_PALMA08@HOTMAIL.COM",,"Fijo","19.38224147","-99.13760452","2010-07"
"8458410","09014332320000941000000000S8","BODE DE VIDRIO Y ALUMINIO POSTAL",,"332320","Fabricación de productos de herrería","0 a 5 personas","CALLE","JOSE SIMON BOLIVAR","CALLE","AHORRO POSTAL","CALLE","GUIPUZCOA","CALLE","ALICANTE","937",,,,"0",,"COLONIA","NIÑOS HEROES DE CHAPULTEPEC",,,,"03440","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0295","017",,,,"Fijo","19.38851965","-99.14518521","2019-11"
"8488893","09014339111000451000000000U4","BROWNIEDENT",,"339111","Fabricación de equipo no electrónico para uso médico, dental y para laboratorio","0 a 5 personas","CALLE","CUMBRES DE ACULTZINGO","CALLE","MITLA","AVENIDA","UNIVERSIDAD","CALLE","TEPOZTECO","13",,"EDIFICIO SIN NOMBRE",,,"301","COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0276","014",,"BROWNIE1161@HOTMAIL.COM",,"Fijo","19.39222184","-99.15062406","2019-11"
"961651","09014811420000561000000000U2","CARPINTERIA",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas","CALLE","PITAGORAS","AVENIDA","DIVISION DEL NORTE","CALLE","SAN BORJA","CALLE","ANAXÁGORAS","1002","A",,,"0",,"COLONIA","NARVARTE PONIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0420","004","5555592235",,,"Fijo","19.38259215","-99.15964303","2010-07"
"963670","09014337120000051000000000U5","CARPINTERIA",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas","CALLE","ELEUTERIO MENDEZ","CALLE","CANARIAS","CALLE","FILIPINAS","CALLE","AVENIDA 17","77",,,,,,"COLONIA","SAN SIMON TICUMAC",,,,"03660","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0647","014",,"JUAN.MARTIN.CAMPO@HOTMAIL.COM",,"Fijo","19.37402214","-99.14609582","2010-07"
"9083744","09014337210000161000000000U1","CARPINTERIA 3 GENERACIONES",,"337210","Fabricación de muebles de oficina y estantería","0 a 5 personas","CALLE","JOSE SIMON BOLIVAR","CALLE","CORRESPONDENCIA","EJE VIAL","4 SUR (XOLA)","CALLE","ALICANTE","835",,,,"0","A Y B","COLONIA","ALAMOS",,,,"03400","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","012A","004","5575822826",,,"Fijo","19.39459888","-99.14420159","2019-11"
"966391","09014337120000201000000000U6","CARPINTERIA ARIAS",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas","CALLE","ELENA","EJE VIAL","5 SUR (PRIMERO DE MAYO)","CALLE","DON JUAN","CALLE","EMMA","70",,,,,,"COLONIA","NATIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0524","001",,,,"Fijo","19.38216978","-99.13726547","2010-07"
"963610","09014337120000521000000000U7","CARPINTERIA CAFA",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas","CALLE","SAN SIMON","CALLE","MARIO ROJAS AVENDAÑO","CALLE","RAFAEL SOLANA","CALLE","MARIO ROJAS AVENDAÑO","131",,,,,,"COLONIA","SAN SIMON TICUMAC",,,,"03660","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0647","002",,,,"Fijo","19.37547823","-99.14620323","2010-07"
"961596","09014811420000211000000000U4","CARPINTERIA MATEHUALA",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas","CALLE","SAN BORJA","CALLE","ZEMPOALA","CALLE","MITLA","CALLE","BARTOLOMÉ R. SALIDO","135",,,,,,"COLONIA","INDEPENDENCIA",,,,"03630","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0469","007",,,,"Fijo","19.38137547","-99.15052023","2010-07"
"960186","09014337120000181000000000U0","CARPINTERIA ROMERO HERMANOS",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas","CALLE","LUZ SAVIÑON","CALLE","ANAXAGORAS","EJE VIAL","1 PONIENTE (AVENIDA CUAUHTEMOC)","CALLE","ROMERO DE TERREROS","1304",,,,,,"COLONIA","NARVARTE PONIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0261","024",,,,"Fijo","19.39080103","-99.157035","2010-07"
"965422","09014337210000011000000000U8","CARPINTERIA SANCHEZ",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas","CALLE","ISABEL LA CATOLICA","CALLE","ROMERO","EJE VIAL","5 SUR (GABRIEL RAMOS MILLAN)","CALLE","VIRGILIO URIBE","1033",,,,,,"COLONIA","AMERICAS UNIDAS",,,,"03610","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0488","001","5555794829",,,"Fijo","19.38501763","-99.14303511","2010-07"
"964837","09014337120000061000000000U4","CARPINTERIA TOTO",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas","CALLE","ZEMPOALA","CALLE","CONCEPCION BEISTEGUI","EJE VIAL","5 SUR (EUGENIA)","EJE VIAL","CENTRAL (LÁZARO CÁRDENAS)","456",,,,,,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0435","011",,,,"Fijo","19.38471717","-99.1489581","2010-07"
"9387585","09014337120000731000000000U2","CARPINTERIA Y BARNIZ",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas",,"PACHUQUILLA",,"CUMBRES DE MALTRATA",,"ZEMPOALA",,"ZEMPOALA","33","A",,,"0",,,"NARVARTE ORIENTE",,,,"03023","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0435","009","5532831510",,,"Fijo","19.38739885","-99.14814572","2022-05"
"9055916","09014337110000152000000000M2","COCINAS RIVIERA","SCHIFFE SA DE CV","337110","Fabricación de cocinas integrales y muebles modulares de baño","6 a 10 personas","AVENIDA","DIVISION DEL NORTE","CALLE","TENAYUCA","PEATONAL","NINGUNO","CALLE","TENAYUCA","1234",,,,"0",,"COLONIA","LETRAN VALLE",,,,"03650","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0628","028",,"INFO@COCINASRIVIERA.COM","COCINASRIVIERA.COM.MX","Fijo","19.37773418","-99.15873089","2019-11"
"9460209","09014337110000191000000000U0","COCINAS RIVIERA SA","COVALBA SA DE CV","337110","Fabricación de cocinas integrales y muebles modulares de baño","0 a 5 personas","AVENIDA","DIVISIÓN DEL NORTE","CALLE","TENAYUCA","PEATONAL","NINGUNO","OTRO(ESPECIFIQUE)","AREA VERDE ESQ. CHICHEN ITZA","1234",,,,,,"COLONIA","LETRAN VALLE",,,,"03104","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0628","028",,"ATENCIONCOCINASRIVIERA@GMAIL.COM","COCINASRIVIERA.MX","Fijo","19.3779175","-99.15878312","2023-11"
"7255347","09014339999000581000000000U6","COLECCIONES BYP",,"339999","Otras industrias manufactureras","0 a 5 personas","CALLE","CERTIFICADOS POSTALES","CALLE","CORRESPONDENCIA","CALLE","CUENCA","CALLE","REEMBOLSOS","7",,,,"1",,"COLONIA","ALAMOS",,,,"03400","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0308","026","5532406620","COLECCIONES@GMAIL.COM","COLECCIONESBYP.COM","Fijo","19.39210133","-99.13962443","2019-11"
"967563","09014332320000562000000000U2","CONSTRUCCIONES METALICAS ESTEVEZ",,"332320","Fabricación de productos de herrería","0 a 5 personas","CALLE","ELENA","AVENIDA","LAGO","EJE VIAL","6 SUR (MORELOS)","CALLE","EMMA","190",,,,,,"COLONIA","NATIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0539","004",,"HERRERIAESTEVEZ@HOTMAIL.COM",,"Fijo","19.37769321","-99.13792197","2010-07"
"902039","09014332810000023001000000U5","COVENTYA MEXICO","COVENTYA MEXICO SA DE CV","332810","Recubrimientos y terminados metálicos","31 a 50 personas","CALLE","JOSE SIMON BOLIVAR","CALLE","TOLEDO","EJE VIAL","4 SUR (XOLA)","CALLE","CASTILLA","752",,,,,,"COLONIA","ALAMOS",,,,"03400","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","012A","002",,,,"Fijo","19.39560183","-99.14388332","2014-12"
"903252","09014339999000531000000000U1","CURIOSIDADES, MANUALIDADES Y ARTESANÍAS",,"339999","Otras industrias manufactureras","0 a 5 personas","CALLE","ELISA","CALLE","DON JUAN","CALLE","DON LUIS","CALLE","LUISA","133",,"MERCADO PUBLICO","1",,,"COLONIA","NATIVITAS","MERCADO PUBLICO","MERCADO LAGO","66","03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0524","016",,,,"Fijo","19.38065928","-99.13874069","2014-12"
"9179097","09014332999000113000000000U5","CVR LASER","CVR LASER SA DE CV","332999","Fabricación de otros productos metálicos","11 a 30 personas","CALLE","CASAS GRANDES","CALLE","CUMBRES DE ACULTZINGO","CALLE","LUZ SAVIÑON","EJE VIAL","CENTRAL (LÁZARO CÁRDENAS)","324",,,,"0",,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0276","015",,,,"Fijo","19.390936","-99.14721911","2019-11"
"903057","09014333319000071000000000U5","DOBERMAN METAL MECANICA",,"333319","Fabricación de otra maquinaria y equipo para el comercio y los servicios","0 a 5 personas","CALZADA","CALZADA DE TLALPAN","CALLE","RUFINO BLANCO FOMBONA","CALLE","LUIS GONZAGA INCLAN","CALLE","DIEGO ARENAS GUZMÁN","23",,,,"12",,"COLONIA","IZTACCIHUATL",,,,"03520","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0327","015",,,,"Fijo","19.39016109","-99.13830997","2014-12"
"8386903","09014336320000013000000000U2","DUPPON ELECTRIC MEXICO","DUPPON ELECTRIC SA DE CV","336320","Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores","11 a 30 personas","CALLE","PALENQUE","CALLE","LUZ SAVIÑON","CALLE","TORRES ADALID","CALLE","PALENQUE","223",,,,,,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0276","023",,"FACTURACION@DWPPON.COM","WWW.DWPPON.COM","Fijo","19.38911134","-99.15237253","2019-11"
"8539788","09014339111000473000000000U8","EQUIPOS DE SEGURIDAD MOVILLA","EQUIPOS DE SEGURIDAD MOVILLA SA DE CV","339111","Fabricación de equipo no electrónico para uso médico, dental y para laboratorio","11 a 30 personas","CALLE","SEVILLA","CALLE","NECAXA","CALLE","MIGUEL LAURENT","CALLE","SARATOGA","105",,,,,,"COLONIA","PORTALES NORTE",,,,"03300","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0774","011",,,,"Fijo","19.37279943","-99.15103813","2019-11"
"7255298","09014332710000291000000000U0","ESBOZOS TRIDIMENCIONALES",,"332710","Maquinado de piezas metálicas para maquinaria y equipo en general","0 a 5 personas","CALLE","ANDALUCIA","EJE VIAL","4 SUR (XOLA)","CALLE","CORRESPONDENCIA","CALLE","CASTILLA","251",,,,"0",,"COLONIA","BENITO JUAREZ",,,,"03400","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","012A","014","5529544827","MAQUINAMOSIDEAS@GMAIL.COM",,"Fijo","19.39387578","-99.1425367","2019-11"
"964198","09014339111000262001000000U5","ESPRODENT LABORATORIO DENTAL",,"339111","Fabricación de equipo no electrónico para uso médico, dental y para laboratorio","11 a 30 personas","CALLE","CASAS GRANDES","CALLE","CUMBRES DE ACULTZINGO","CALLE","LUZ SAVIÑON","CALLE","DOCTOR JOSÉ MARÍA BARRAGÁN","245","505",,,"505",,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0276","008",,"PRODEEN@PRODIGY.NET.MX","WWW.ESPRODENT.COM.MX","Fijo","19.39231017","-99.14715461","2010-07"
"9199408","09014337210000172000000000U8","ESTANTERIA Y EIBIDORES EYE",,"337210","Fabricación de muebles de oficina y estantería","6 a 10 personas","CALZADA","CALZADA DE TLALPAN","CALLE","REFUGIO","CALLE","LAURA","CALLE","LUISA","908","A",,,,,"COLONIA","NATIVITAS",,,,"03500","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0331","018",,,,"Fijo","19.38599171","-99.13893585","2019-11"
"964149","09014621211000481010000000M6","EXPERT DENT",,"339111","Fabricación de equipo no electrónico para uso médico, dental y para laboratorio","6 a 10 personas","CALLE","CUMBRES DE MALTRATA","CALLE","MITLA","AVENIDA","UNIVERSIDAD","CALLE","TEPOZTECO","376","A",,,,,"COLONIA","NARVARTE ORIENTE",,,,"03020","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0276","013",,"EXPERTDENTRX@YAHOO.COM",,"Fijo","19.39103793","-99.15046739","2010-07"
"966096","09014332320000151000000000U4","FABRICA DE ALUMINIO",,"332320","Fabricación de productos de herrería","0 a 5 personas","CALLE","XOCHICALCO","CALLE","MATIAS ROMERO","EJE VIAL","6 SUR (ÁNGEL URRAZA)","CALLE","UXMAL","565","B",,,,,"COLONIA","VERTIZ NARVARTE",,,,"03600","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0628","007",,,,"Fijo","19.38044125","-99.15575713","2010-07"
"963690","09014322210000062001000000U8","FABRICA DE MUEBLES",,"337120","Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería","0 a 5 personas","CERRADA","LIBERTAD","CALLE","ELEUTERIO MENDEZ","CALLE","SANTA CRUZ","CALLE","CANARIAS","95","A",,,,,"COLONIA","SAN SIMON TICUMAC",,,,"03660","09","CIUDAD DE MÉXICO","014","Benito Juárez","0001","Benito Juárez","0647","020",,,,"Fijo","19.37285278","-99.14570197","2010-07"
